arg_id,micro_cluster_id,cluster_size,is_centroid,centroid_arg_id
A152_1,321,1,true,A152_1
A153_0,332,1,true,A153_0
A153_1,692,1,true,A153_1
A153_2,1306,1,true,A153_2
A153_3,63,1,true,A153_3
A153_4,769,1,true,A153_4
A153_5,1140,1,true,A153_5
A154_0,75,1,true,A154_0
A155_0,759,1,true,A155_0
A155_1,565,1,true,A155_1
A155_2,566,1,true,A155_2
A155_3,1244,1,true,A155_3
A155_4,722,1,true,A155_4
A155_5,534,1,true,A155_5
A155_6,407,2,false,A100_0
A155_7,641,1,true,A155_7
A155_8,763,1,true,A155_8
A155_9,764,1,true,A155_9
A156_0,219,3,true,A156_0
A156_1,131,1,true,A156_1
A156_2,3,1,true,A156_2
A157_0,219,3,false,A156_0
A157_1,145,1,true,A157_1
A157_2,144,1,true,A157_2
A157_3,146,1,true,A157_3
A157_4,123,1,true,A157_4
A157_5,437,1,true,A157_5
A158_0,46,1,true,A158_0
A158_1,169,1,true,A158_1
A158_2,116,1,true,A158_2
A158_3,327,1,true,A158_3
A158_4,284,1,true,A158_4
A158_5,336,1,true,A158_5
A158_6,1326,1,true,A158_6
A158_7,835,1,true,A158_7
A158_8,1275,1,true,A158_8
A159_0,1057,10,false,A102_0
A159_1,105,2,false,A47_6
A159_2,204,1,true,A159_2
A159_3,186,2,false,A48_1
A159_4,1353,2,false,A48_0
A160_0,519,1,true,A160_0
A160_1,172,1,true,A160_1
A160_2,526,2,true,A160_2
A161_0,444,1,true,A161_0
A161_1,441,1,true,A161_1
A161_2,187,1,true,A161_2
A161_3,632,1,true,A161_3
A161_4,385,2,false,A110_10
A162_0,541,2,true,A162_0
A162_1,83,1,true,A162_1
A162_2,320,1,true,A162_2
A162_3,654,1,true,A162_3
A162_4,208,1,true,A162_4
A163_0,1095,1,true,A163_0
A163_1,1205,1,true,A163_1
A163_2,1236,1,true,A163_2
A163_3,1117,1,true,A163_3
A163_4,508,1,true,A163_4
A163_5,291,1,true,A163_5
A163_6,1168,1,true,A163_6
A163_7,635,1,true,A163_7
A164_0,798,5,false,A182_2
A164_1,803,3,false,A127_1
A164_2,756,1,true,A164_2
A165_0,844,1,true,A165_0
A165_1,842,1,true,A165_1
A165_2,452,2,true,A165_2
A165_3,452,2,false,A165_2
A165_4,495,2,false,A150_0
A165_5,685,1,true,A165_5
A166_0,800,2,false,A94_0
A166_1,166,1,true,A166_1
A166_2,891,1,true,A166_2
A167_0,526,2,false,A160_2
A167_1,527,1,true,A167_1
A167_2,643,1,true,A167_2
A167_3,450,1,true,A167_3
A168_0,1261,2,true,A168_0
A168_1,1261,2,false,A168_0
A169_0,1106,3,false,A115_5
A169_1,528,1,true,A169_1
A170_0,612,1,true,A170_0
A170_1,825,1,true,A170_1
A170_2,1357,1,true,A170_2
A171_0,158,1,true,A171_0
A171_1,314,1,true,A171_1
A171_2,431,1,true,A171_2
A172_0,556,4,false,A300_2
A172_1,653,2,false,A88_3
A173_0,1120,1,true,A173_0
A173_1,1110,2,true,A173_1
A173_2,1234,1,true,A173_2
A173_3,1216,1,true,A173_3
A173_4,1217,1,true,A173_4
A173_5,1218,1,true,A173_5
A173_6,1219,1,true,A173_6
A174_0,242,2,false,A112_1
A174_1,628,1,true,A174_1
A175_0,304,2,true,A175_0
A175_1,345,1,true,A175_1
A175_2,1386,1,true,A175_2
A175_3,1248,1,true,A175_3
A176_0,1142,1,true,A176_0
A176_1,1141,2,true,A176_1
A176_2,910,1,true,A176_2
A176_3,1144,1,true,A176_3
A176_4,1145,1,true,A176_4
A176_5,1141,2,false,A176_1
A177_0,193,2,false,A143_4
A177_1,355,2,false,A143_5
A177_2,1064,2,false,A136_3
A177_6,1069,3,true,A177_6
A178_0,147,1,true,A178_0
A178_1,156,1,true,A178_1
A178_2,1249,1,true,A178_2
A179_0,344,1,true,A179_0
A179_1,34,1,true,A179_1
A179_2,438,1,true,A179_2
A179_3,1379,1,true,A179_3
A179_4,1121,1,true,A179_4
A179_5,1136,1,true,A179_5
A179_6,506,3,false,A449_4
A180_0,493,2,false,A7_0
A180_1,532,1,true,A180_1
A180_2,341,1,true,A180_2
A180_3,455,1,true,A180_3
A181_0,497,1,true,A181_0
A181_1,793,1,true,A181_1
A181_2,207,1,true,A181_2
A181_3,296,1,true,A181_3
A181_4,509,1,true,A181_4
A181_5,162,1,true,A181_5
